t,gt_x,gt_y,gt_z,fused_x,fused_y,fused_z,err_3d,quality
4.85,-1.5081,1.31364,12.425,-1.51978,1.32274,12.5169,0.0931076,1
4.9,-1.54046,1.27553,12.45,-1.53708,1.3047,12.5213,0.0771036,1
4.95,-1.57187,1.23662,12.475,-1.46442,1.1708,12.544,0.143677,1
5,-1.60229,1.19694,12.5,-1.48934,1.12917,12.5903,0.159705,1
5.05,-1.63171,1.15652,12.525,-1.58293,1.07616,12.346,0.202207,1
5.1,-1.66011,1.11537,12.55,-1.60921,1.03206,12.3643,0.209813,1
5.15,-1.68747,1.07352,12.575,-1.54173,1.10624,12.5572,0.150423,1
5.2,-1.71378,1.031,12.6,-1.57385,1.04252,12.5959,0.140458,1
5.25,-1.73901,0.987841,12.625,-1.59267,0.903513,12.7604,0.216449,1
5.3,-1.76316,0.944061,12.65,-1.60837,0.86154,12.7688,0.211867,1
5.35,-1.78621,0.899692,12.675,-1.80919,0.845053,12.6525,0.063384,1
5.4,-1.80814,0.85476,12.7,-1.83425,0.798619,12.6317,0.0921695,1
5.45,-1.82895,0.809294,12.725,-1.78096,0.862326,12.7171,0.0719567,1
5.5,-1.8486,0.763322,12.75,-1.80339,0.812417,12.6786,0.0977266,1
5.55,-1.86711,0.716873,12.775,-1.85142,0.655716,12.8074,0.0709676,1
5.6,-1.88444,0.669976,12.8,-1.86931,0.606876,12.7692,0.0718451,1
5.65,-1.9006,0.622661,12.825,-1.93149,0.507953,12.7661,0.132579,1
5.7,-1.91557,0.574956,12.85,-1.94969,0.455476,12.7807,0.142271,1
5.75,-1.92935,0.526892,12.875,-2.14041,0.506456,12.8258,0.217683,1
5.8,-1.94192,0.478499,12.9,-2.0677,0.517039,12.8693,0.135092,1
5.85,-1.95327,0.429806,12.925,-2.08652,0.4722,12.8929,0.143464,1
5.9,-1.9634,0.380845,12.95,-2.10424,0.427184,12.9389,0.148675,1
5.95,-1.97231,0.331646,12.975,-1.8853,0.355737,12.8881,0.125281,1
6,-1.97998,0.28224,13,-1.88872,0.304487,13.1273,0.158177,1
6.05,-1.98642,0.232657,13.025,-2.0505,0.33105,13.0662,0.124445,1
6.1,-1.99162,0.182929,13.05,-2.06044,0.283643,13.163,0.166248,1
6.15,-1.99557,0.133087,13.075,-2.02726,0.144026,13.2351,0.163602,1
6.2,-1.99827,0.0831613,13.1,-2.03143,0.0901655,13.0267,0.080789,1
6.25,-1.99972,0.0331838,13.125,-2.13236,0.0838977,13.0558,0.157977,1
6.3,-1.99993,-0.0168145,13.15,-2.11193,0.0237577,13.0242,0.173233,1
6.35,-1.99888,-0.0668023,13.175,-2.11529,-0.014212,13.0408,0.185249,1
6.4,-1.99659,-0.116748,13.2,-1.84956,-0.155794,13.2434,0.158201,1
6.45,-1.99305,-0.166621,13.225,-1.84441,-0.176603,13.2539,0.151746,1
6.5,-1.98826,-0.21639,13.25,-1.82276,-0.254688,13.2112,0.174245,1
6.55,-1.98223,-0.266024,13.275,-1.93427,-0.318759,13.3167,0.0825843,1
6.6,-1.97496,-0.315491,13.3,-1.92332,-0.37102,13.2831,0.0776851,1
6.65,-1.96646,-0.364762,13.325,-1.91781,-0.312755,13.2216,0.125559,1
6.7,-1.95672,-0.413804,13.35,-1.90174,-0.368572,13.2116,0.15567,1
6.75,-1.94577,-0.462588,13.375,-2.03692,-0.47406,13.3912,0.0932992,1
6.8,-1.9336,-0.511082,13.4,-2.02861,-0.523322,13.2401,0.186385,1
6.85,-1.92022,-0.559257,13.425,-1.93016,-0.60307,13.361,0.0781975,1
6.9,-1.90564,-0.607083,13.45,-1.91539,-0.653323,13.4516,0.0472851,1
6.95,-1.88987,-0.654529,13.475,-1.96424,-0.533922,13.5165,0.14765,1
7,-1.87291,-0.701566,13.5,-1.94771,-0.582994,13.4718,0.143008,1
7.05,-1.85479,-0.748165,13.525,-1.829,-0.722985,13.5064,0.0405727,1
7.1,-1.83551,-0.794296,13.55,-1.74933,-0.66103,13.415,0.208339,1
7.15,-1.81508,-0.839931,13.575,-1.72575,-0.695585,13.4335,0.221,1
7.2,-1.79352,-0.885041,13.6,-1.69518,-0.737143,13.3498,0.306868,1
7.25,-1.77083,-0.929598,13.625,-1.73262,-0.895593,13.6114,0.0529245,1
7.3,-1.74704,-0.973573,13.65,-1.70354,-0.943112,13.6529,0.0531864,1
7.35,-1.72216,-1.01694,13.675,-1.6564,-1.11219,13.6298,0.124248,1
7.4,-1.6962,-1.05967,13.7,-1.71168,-0.948548,13.6955,0.11229,1
7.45,-1.66918,-1.10174,13.725,-1.68811,-0.981211,13.718,0.122209,1
7.5,-1.64112,-1.14312,13.75,-1.66086,-1.01675,13.7287,0.129666,1
7.55,-1.61203,-1.18379,13.775,-1.4987,-1.04531,13.6871,0.199349,1
7.6,-1.58194,-1.22372,13.8,-1.4623,-1.07838,13.8041,0.188286,1
7.65,-1.55085,-1.26288,13.825,-1.57971,-1.30093,13.8038,0.052265,1
7.7,-1.5188,-1.30125,13.85,-1.54906,-1.34254,13.8225,0.0581326,1
7.75,-1.4858,-1.33881,13.875,-1.63496,-1.38016,13.9067,0.157993,1
